912,2%,2%,8%,67%,3%,18%,2.90%,9.19%,0.3149
913,0%,20%,38%,23%,15%,4%,4.37%,9.40%,0.4646
914,2%,5%,22%,42%,3%,26%,3.46%,8.33%,0.4149
915,19%,21%,11%,14%,25%,10%,4.03%,5.76%,0.6982
916,6%,3%,41%,15%,28%,7%,5.19%,9.70%,0.5353
917,5%,44%,21%,2%,3%,25%,3.13%,4.99%,0.6276
918,14%,7%,6%,37%,36%,0%,4.09%,6.44%,0.6354
919,26%,37%,16%,16%,4%,1%,3.86%,7.28%,0.5294
920,12%,39%,27%,2%,6%,14%,3.83%,6.60%,0.5796
921,8%,4%,3%,68%,14%,3%,3.21%,8.51%,0.3770
922,8%,53%,6%,3%,14%,16%,2.79%,3.88%,0.7190
923,2%,49%,10%,9%,3%,27%,2.47%,3.62%,0.6826
924,37%,6%,6%,44%,7%,0%,4.18%,8.45%,0.4945
925,4%,16%,7%,39%,18%,16%,3.17%,5.85%,0.5409
926,3%,11%,11%,44%,24%,7%,3.56%,7.17%,0.4957
927,46%,18%,6%,5%,20%,5%,4.68%,10.12%,0.4621
928,27%,13%,17%,4%,5%,34%,4.04%,7.07%,0.5705
929,1%,18%,11%,43%,12%,15%,3.08%,6.83%,0.4503
930,6%,32%,27%,3%,19%,13%,4.02%,6.25%,0.6428
931,32%,22%,5%,4%,6%,31%,3.62%,7.10%,0.5099
932,49%,23%,0%,2%,5%,21%,4.01%,10.49%,0.3818
933,23%,3%,45%,26%,1%,2%,5.32%,11.91%,0.4464
934,23%,19%,4%,20%,33%,1%,4.12%,6.13%,0.6717
935,2%,36%,32%,16%,13%,1%,3.97%,7.76%,0.5116
936,18%,50%,18%,5%,5%,4%,3.55%,6.33%,0.5600
937,18%,14%,22%,45%,1%,0%,4.01%,8.94%,0.4482
938,39%,7%,12%,25%,8%,9%,4.49%,8.85%,0.5074
939,31%,20%,19%,9%,0%,21%,4.14%,8.12%,0.5094
940,56%,2%,3%,3%,1%,35%,4.43%,11.76%,0.3764
941,10%,7%,28%,15%,14%,26%,4.26%,7.15%,0.5957
942,2%,2%,17%,40%,27%,12%,3.93%,7.76%,0.5066
943,30%,1%,32%,6%,8%,23%,5.07%,9.59%,0.5279
944,12%,16%,18%,40%,6%,8%,3.68%,7.53%,0.4889
945,3%,8%,62%,6%,19%,2%,5.78%,12.73%,0.4542
946,0%,2%,51%,16%,1%,30%,4.65%,11.16%,0.4168
947,16%,42%,36%,5%,1%,0%,4.29%,8.71%,0.4921
948,19%,8%,0%,38%,12%,23%,3.27%,5.16%,0.6338
949,18%,13%,42%,1%,20%,6%,5.36%,9.76%,0.5494
950,2%,3%,32%,32%,15%,16%,4.28%,9.15%,0.4671
951,72%,13%,3%,11%,0%,1%,5.02%,14.93%,0.3363
952,74%,16%,3%,1%,1%,5%,5.07%,15.75%,0.3215
953,10%,0%,11%,43%,19%,17%,3.74%,6.86%,0.5446
954,46%,4%,41%,4%,5%,0%,6.04%,13.40%,0.4506
955,24%,2%,25%,20%,0%,29%,4.30%,8.14%,0.5285
956,6%,7%,13%,67%,4%,3%,3.31%,9.71%,0.3411
957,24%,43%,15%,15%,0%,3%,3.57%,6.91%,0.5164
958,52%,12%,20%,2%,9%,5%,5.30%,12.18%,0.4353
959,13%,8%,42%,30%,3%,4%,4.82%,10.98%,0.4392
960,12%,70%,2%,3%,0%,13%,2.25%,4.64%,0.4835
961,4%,1%,71%,23%,0%,1%,5.82%,15.65%,0.3718
962,23%,11%,47%,1%,15%,3%,5.67%,11.09%,0.5113
963,25%,17%,0%,49%,4%,5%,3.28%,6.58%,0.4983
